name,category,top,psf1,psf2,notes,link
LAKEVILLE,,1/12/2020,1622,1692,some notes,https://share.ecoprop.com/LAKEVILLE/R065963D
LANDBAY CONDOMINIUM,,1/12/2020,0,1682,some notes,https://share.ecoprop.com/LANDBAY-CONDOMINIUM/R065963D
LANDRIDGE CONDOMINIUM,,1/12/2020,0,1443,some notes,https://share.ecoprop.com/LANDRIDGE-CONDOMINIUM/R065963D
LEEDON GREEN,,1/12/2020,2846,3392,some notes,https://share.ecoprop.com/LEEDON-GREEN/R065963D
LEEDON RESIDENCE,,1/12/2020,0,2758,some notes,https://share.ecoprop.com/LEEDON-RESIDENCE/R065963D
LES MAISONS NASSIM,,1/12/2020,0,5213,some notes,https://share.ecoprop.com/LES-MAISONS-NASSIM/R065963D
LINCOLN SUITES,,1/12/2020,0,2260,some notes,https://share.ecoprop.com/LINCOLN-SUITES/R065963D
LIV @ MB,,1/12/2020,0,2579,some notes,https://share.ecoprop.com/LIV-MB/R065963D
LIVIA,,1/12/2020,0,1198,some notes,https://share.ecoprop.com/LIVIA/R065963D
MANDARIN GARDENS,,1/12/2020,1448,1430,some notes,https://share.ecoprop.com/MANDARIN-GARDENS/R065963D
MARINA BAY RESIDENCES,,1/12/2020,2114,0,some notes,https://share.ecoprop.com/MARINA-BAY-RESIDENCES/R065963D
MARINA BAY SUITES,,1/12/2020,0,1959,some notes,https://share.ecoprop.com/MARINA-BAY-SUITES/R065963D
MARINA COLLECTION,,1/12/2020,0,1421,some notes,https://share.ecoprop.com/MARINA-COLLECTION/R065963D
MARTIN MODERN,,1/12/2020,2662,2943,some notes,https://share.ecoprop.com/MARTIN-MODERN/R065963D
MARTIN PLACE RESIDENCES,,1/12/2020,0,2514,some notes,https://share.ecoprop.com/MARTIN-PLACE-RESIDENCES/R065963D
MARYMOUNT VIEW,,1/12/2020,1466,0,some notes,https://share.ecoprop.com/MARYMOUNT-VIEW/R065963D
MAYFAIR GARDENS,,1/12/2020,2172,2079,some notes,https://share.ecoprop.com/MAYFAIR-GARDENS/R065963D
MEADOWS @ PEIRCE,,1/12/2020,0,1632,some notes,https://share.ecoprop.com/MEADOWS-PEIRCE/R065963D
MELVILLE PARK,,1/12/2020,938,896,some notes,https://share.ecoprop.com/MELVILLE-PARK/R065963D
MERAPRIME,,1/12/2020,1906,0,some notes,https://share.ecoprop.com/MERAPRIME/R065963D
MODENA,,1/12/2020,0,1071,some notes,https://share.ecoprop.com/MODENA/R065963D
MON JERVOIS,,1/12/2020,2002,0,some notes,https://share.ecoprop.com/MON-JERVOIS/R065963D
MY MANHATTAN,,1/12/2020,1526,1329,some notes,https://share.ecoprop.com/MY-MANHATTAN/R065963D
Maplewoods,,1/12/2020,0,2049,some notes,https://share.ecoprop.com/Maplewoods/R065963D
NEW FUTURA,,1/12/2020,0,4645,some notes,https://share.ecoprop.com/NEW-FUTURA/R065963D
NEWTON ONE,,1/12/2020,0,2261,some notes,https://share.ecoprop.com/NEWTON-ONE/R065963D
NOUVEL 18,,1/12/2020,0,3082,some notes,https://share.ecoprop.com/NOUVEL-18/R065963D
NV RESIDENCES,,1/12/2020,1233,1101,some notes,https://share.ecoprop.com/NV-RESIDENCES/R065963D
OASIS @ ELIAS,,1/12/2020,0,1033,some notes,https://share.ecoprop.com/OASIS-ELIAS/R065963D
OASIS GARDEN,,1/12/2020,0,1503,some notes,https://share.ecoprop.com/OASIS-GARDEN/R065963D
OCEAN PARK,,1/12/2020,0,1740,some notes,https://share.ecoprop.com/OCEAN-PARK/R065963D
ONE AMBER,,1/12/2020,2390,2141,some notes,https://share.ecoprop.com/ONE-AMBER/R065963D
ONE DEVONSHIRE,,1/12/2020,0,2608,some notes,https://share.ecoprop.com/ONE-DEVONSHIRE/R065963D
